name,psnr,ssim
EHG0494889__X15__Y45.jpg,31.69017085735438,0.9673851430477438
EHG0494889__X18__Y09.jpg,30.292956494243107,0.9522904591326337
EHG0494889__X18__Y0C.jpg,24.979441009281054,0.9297337679572661
EHG0494889__X18__Y0F.jpg,25.07335992357733,0.9059513590948
EHG0494889__X18__Y12.jpg,22.748692509951812,0.8551446682549458
EHG0494889__X18__Y15.jpg,26.68338134428631,0.9123014629694726
EHG0494889__X18__Y18.jpg,18.911960901258045,0.7910662862685157
EHG0494889__X18__Y1B.jpg,20.906520058777698,0.8100425729495744
EHG0494889__X18__Y1E.jpg,19.352535550350186,0.7350635847732152
EHG0494889__X18__Y21.jpg,20.457745417125828,0.8092075973160514
EHG0494889__X18__Y24.jpg,22.701090060699386,0.8715819162932208
EHG0494889__X18__Y27.jpg,20.945736734142727,0.8462069043755032
EHG0494889__X18__Y2A.jpg,19.743238135980135,0.7899852897971491
EHG0494889__X18__Y2D.jpg,20.04884768748589,0.7798204754533484
EHG0494889__X18__Y30.jpg,21.221775340665808,0.7765925768481406
EHG0494889__X18__Y33.jpg,24.38092220450541,0.9029549536155603
EHG0494889__X18__Y36.jpg,19.549779756567112,0.7452421586283428
EHG0494889__X18__Y39.jpg,20.46440820831124,0.8299627325049381
EHG0494889__X18__Y3C.jpg,20.90582289007675,0.8068708275778744
EHG0494889__X18__Y3F.jpg,22.891612841445724,0.8484444879409406
EHG0494889__X18__Y42.jpg,28.797150134900132,0.9356618370858513
EHG0494889__X18__Y45.jpg,32.12823038917007,0.9570243850577032
EHG0494889__X1B__Y09.jpg,22.267902633327587,0.8366277358778557
EHG0494889__X1B__Y0C.jpg,23.054743950616512,0.8730563467262291
EHG0494889__X1B__Y0F.jpg,23.5676008254207,0.9165292670363373
EHG0494889__X1B__Y12.jpg,17.415455942211416,0.6820023358135215
EHG0494889__X1B__Y15.jpg,19.588630829525822,0.7893184827763966
EHG0494889__X1B__Y18.jpg,22.294418380850843,0.7989170191482506
EHG0494889__X1B__Y1B.jpg,22.81806854410422,0.8589987307292186
EHG0494889__X1B__Y1E.jpg,21.274047721257755,0.8153561075353496
EHG0494889__X1B__Y21.jpg,22.145588802345703,0.8345172435644468
EHG0494889__X1B__Y24.jpg,20.828953528784957,0.8067385323413975
EHG0494889__X1B__Y27.jpg,21.700548833130846,0.8093456791896514
EHG0494889__X1B__Y2A.jpg,17.613915220931638,0.7251875013467928
EHG0494889__X1B__Y2D.jpg,19.913117865083866,0.8010463468076549
EHG0494889__X1B__Y30.jpg,19.343820841264908,0.7961585219672045
EHG0494889__X1B__Y33.jpg,22.35380859328389,0.8287864950291676
EHG0494889__X1B__Y36.jpg,19.65257294632912,0.7472220642050146
EHG0494889__X1B__Y39.jpg,22.07679590444574,0.858032385045436
EHG0494889__X1B__Y3C.jpg,20.162269383688823,0.7790012777067649
EHG0494889__X1B__Y3F.jpg,20.91351397248915,0.8583556725988215
EHG0494889__X1B__Y42.jpg,26.318506831833727,0.8885468184302199
EHG0494889__X1B__Y45.jpg,30.950634470124683,0.972954658005682
EHG0494889__X1E__Y09.jpg,24.294038982421185,0.8692280635814401
EHG0494889__X1E__Y0C.jpg,20.986896770894738,0.8337034284818676
EHG0494889__X1E__Y0F.jpg,19.659421337006545,0.7610120430841051
EHG0494889__X1E__Y12.jpg,22.011770804404705,0.8069543072824163
EHG0494889__X1E__Y15.jpg,22.37304712738925,0.8191600938457114
EHG0494889__X1E__Y18.jpg,22.465777889894404,0.8246069612332053
EHG0494889__X1E__Y1B.jpg,20.558576368215654,0.8752778237086967
EHG0494889__X1E__Y1E.jpg,21.17148869802783,0.8409761465760602
EHG0494889__X1E__Y21.jpg,25.900923515589174,0.911095766931603
EHG0494889__X1E__Y24.jpg,19.273799859127326,0.8044399426724296
EHG0494889__X1E__Y27.jpg,18.44141004145341,0.6894164847424559
EHG0494889__X1E__Y2A.jpg,21.956998127194197,0.862848709964827
EHG0494889__X1E__Y2D.jpg,17.13711912627165,0.6885832767394963
EHG0494889__X1E__Y30.jpg,18.082209571454634,0.7397107250609907
EHG0494889__X1E__Y33.jpg,21.24081161005336,0.8408036244715402
EHG0494889__X1E__Y36.jpg,20.688421834616673,0.87308455963928
EHG0494889__X1E__Y39.jpg,19.373769289498902,0.7392336091543433
EHG0494889__X1E__Y3C.jpg,20.385431989269204,0.7809552595586245
EHG0494889__X1E__Y3F.jpg,23.899854877003456,0.8534202641570244
EHG0494889__X1E__Y42.jpg,20.80020436939109,0.7943852570057495
EHG0494889__X1E__Y45.jpg,32.36384449829297,0.9710629352472779
EHG0494889__X21__Y09.jpg,32.389422858133564,0.9631409662553975
EHG0494889__X21__Y0C.jpg,24.509213385796983,0.8653012882405489
EHG0494889__X21__Y0F.jpg,26.720516047404743,0.8887090994700918
EHG0494889__X21__Y12.jpg,21.733660762500726,0.8521076355637283
EHG0494889__X21__Y15.jpg,24.42779784283271,0.8700933490732338
EHG0494889__X21__Y18.jpg,19.975053217917875,0.7587776768786719
EHG0494889__X21__Y1B.jpg,22.847672488324122,0.8800429577463129
EHG0494889__X21__Y1E.jpg,20.29991122190241,0.737350942491229
EHG0494889__X21__Y21.jpg,20.41716984080113,0.8201474000413337
EHG0494889__X21__Y24.jpg,22.817231330449097,0.8681729884692078
EHG0494889__X21__Y27.jpg,18.015557063079335,0.77256930915254
EHG0494889__X21__Y2A.jpg,21.601026977704414,0.8310914442402402
EHG0494889__X21__Y2D.jpg,25.03372178449173,0.8741975191736677
EHG0494889__X21__Y30.jpg,20.25190447405599,0.8261191935950783
EHG0494889__X21__Y33.jpg,21.681639246537717,0.8351059836603261
EHG0494889__X21__Y36.jpg,24.52070376111092,0.8598345092728255
EHG0494889__X21__Y39.jpg,24.21299733874369,0.8841151643903884
EHG0494889__X21__Y3C.jpg,22.379294944269148,0.8539791329432957
EHG0494889__X21__Y3F.jpg,22.314393727946612,0.7935298199660819
EHG0494889__X21__Y42.jpg,22.006564360602027,0.824272942024119
EHG0494889__X21__Y45.jpg,29.605114732495018,0.9419046829729041
EHG0494889__X24__Y09.jpg,23.381777127443893,0.8476843899802582
EHG0494889__X24__Y0C.jpg,25.77721400188237,0.8918909887333737
EHG0494889__X24__Y0F.jpg,22.994123465243405,0.8241500156759024
EHG0494889__X24__Y12.jpg,21.168850501567853,0.8332020889959423
EHG0494889__X24__Y15.jpg,24.03240204367897,0.8707320076152876
EHG0494889__X24__Y18.jpg,23.964202020611882,0.8914061360926985
EHG0494889__X24__Y1B.jpg,22.98632617982776,0.8326391140264411
EHG0494889__X24__Y1E.jpg,17.03477253332562,0.6606093452087332
EHG0494889__X24__Y21.jpg,19.835904083075338,0.8078735198350361
EHG0494889__X24__Y24.jpg,20.720512253919168,0.7715514350438574
EHG0494889__X24__Y27.jpg,20.310536571119812,0.8111447305227002
EHG0494889__X24__Y2A.jpg,22.251648424056793,0.8697750350408162
EHG0494889__X24__Y2D.jpg,20.400242480411098,0.8540194702141615
EHG0494889__X24__Y30.jpg,23.847110749501063,0.8802995700831654
EHG0494889__X24__Y33.jpg,22.222211038642033,0.7683892568041132
EHG0494889__X24__Y36.jpg,21.815733982398417,0.8595775352623843
EHG0494889__X24__Y39.jpg,22.75581936375869,0.8503639434928506
EHG0494889__X24__Y3C.jpg,20.423628032117055,0.8416465205784509
EHG0494889__X24__Y3F.jpg,24.043262315170224,0.8747125351148457
EHG0494889__X24__Y42.jpg,23.634994402127937,0.8586151693667178
EHG0494889__X24__Y45.jpg,24.447420851786536,0.8995800208469752
EHG0494889__X27__Y09.jpg,23.708550154214137,0.872286778715696
EHG0494889__X27__Y0C.jpg,20.854075307553313,0.8300080571736055
EHG0494889__X27__Y0F.jpg,19.746043209066244,0.7238223640339353
EHG0494889__X27__Y12.jpg,18.900128079479078,0.7090225019806282
EHG0494889__X27__Y15.jpg,23.18147381243901,0.7947617897490428
EHG0494889__X27__Y18.jpg,18.704045155215827,0.7173853736499692
EHG0494889__X27__Y1B.jpg,21.674855089632278,0.7913304064109712
EHG0494889__X27__Y1E.jpg,22.53237004700821,0.8224815898764772
EHG0494889__X27__Y21.jpg,19.1173357145289,0.7734149764943395
EHG0494889__X27__Y24.jpg,21.232578257184574,0.8458357924787491
EHG0494889__X27__Y27.jpg,20.976732998768423,0.7965928396887286
EHG0494889__X27__Y2A.jpg,21.64399620087908,0.8383197144490527
EHG0494889__X27__Y2D.jpg,21.579178410144465,0.787484833763505
EHG0494889__X27__Y30.jpg,20.04676563464665,0.8035502139840871
EHG0494889__X27__Y33.jpg,19.7685690408651,0.7675064596425859
EHG0494889__X27__Y36.jpg,17.619965506001204,0.6470376206285553
EHG0494889__X27__Y39.jpg,19.409846720433098,0.7877986088952152
EHG0494889__X27__Y3C.jpg,23.01862251891066,0.8570347265514582
EHG0494889__X27__Y3F.jpg,21.570780813982672,0.8487321644444034
EHG0494889__X27__Y42.jpg,19.800693775178843,0.7935506675172169
EHG0494889__X27__Y45.jpg,25.59160399629762,0.9170173654780137
EHG0494889__X2A__Y09.jpg,21.606952360604556,0.8360876663387481
EHG0494889__X2A__Y0C.jpg,24.601706725139106,0.9011172526752531
EHG0494889__X2A__Y0F.jpg,22.39048461384965,0.8740686420534561
EHG0494889__X2A__Y12.jpg,21.090964675754947,0.8136994570420103
EHG0494889__X2A__Y15.jpg,21.49662595904616,0.8261674291351055
EHG0494889__X2A__Y18.jpg,19.88420825911485,0.7511348646582579
EHG0494889__X2A__Y1B.jpg,22.765372346317157,0.8592033086219907
EHG0494889__X2A__Y1E.jpg,22.78223173786207,0.8147623123762787
EHG0494889__X2A__Y21.jpg,20.78405609693426,0.7940104678679959
EHG0494889__X2A__Y24.jpg,20.891291409600097,0.8166581137666459
EHG0494889__X2A__Y27.jpg,21.476941028197206,0.8544543050207242
EHG0494889__X2A__Y2A.jpg,21.910960551663933,0.8461747372303773
EHG0494889__X2A__Y2D.jpg,22.02141762492778,0.8128332658982679
EHG0494889__X2A__Y30.jpg,23.174662604235547,0.8529529696478791
EHG0494889__X2A__Y33.jpg,18.190043109807302,0.7990059436556126
EHG0494889__X2A__Y36.jpg,22.352633680488218,0.8363602962590947
EHG0494889__X2A__Y39.jpg,20.99518767521068,0.8246100706651235
EHG0494889__X2A__Y3C.jpg,26.335533320037293,0.9010444925456729
EHG0494889__X2A__Y3F.jpg,21.162061288364328,0.8453357914915769
EHG0494889__X2A__Y42.jpg,19.561265878383875,0.764584527543943
EHG0494889__X2A__Y45.jpg,24.994000851271274,0.9100430011221642
EHG0494889__X2D__Y09.jpg,24.187186929326394,0.9230315580138193
EHG0494889__X2D__Y0C.jpg,21.656222268935487,0.8223284440894899
EHG0494889__X2D__Y0F.jpg,22.65911996181825,0.853758978217487
EHG0494889__X2D__Y12.jpg,22.455927472144328,0.892446514531842
EHG0494889__X2D__Y15.jpg,21.152392310300115,0.8503238195065758
EHG0494889__X2D__Y18.jpg,19.84798360432552,0.7787564656578958
EHG0494889__X2D__Y1B.jpg,19.79262501838783,0.7966168412711485
EHG0494889__X2D__Y1E.jpg,18.362319504045963,0.7087628792308812
EHG0494889__X2D__Y21.jpg,21.981984809919773,0.8656976260281651
EHG0494889__X2D__Y24.jpg,20.616416457992074,0.8159544526480201
EHG0494889__X2D__Y27.jpg,20.001604730452343,0.8347852991724329
EHG0494889__X2D__Y2A.jpg,23.96480374795602,0.8704483615811254
EHG0494889__X2D__Y2D.jpg,20.809745000970004,0.7792657824042784
EHG0494889__X2D__Y30.jpg,21.40199319550874,0.8427510083836436
EHG0494889__X2D__Y33.jpg,21.079404578063592,0.7577156375388097
EHG0494889__X2D__Y36.jpg,18.14772102729277,0.7686570840355517
EHG0494889__X2D__Y39.jpg,19.51850654750427,0.7998160572673305
EHG0494889__X2D__Y3C.jpg,18.90381808290777,0.801076086891822
EHG0494889__X2D__Y3F.jpg,20.41230358301859,0.8283222649971038
EHG0494889__X2D__Y42.jpg,24.237564107943207,0.8821569399768935
EHG0494889__X2D__Y45.jpg,27.839605047608124,0.940276270466451
