name,psnr,ssim
ESY0359993__X04__Y06.jpg,35.91579293325728,0.9703801926101472
ESY0359993__X04__Y08.jpg,35.762427236036174,0.9701846304622546
ESY0359993__X04__Y0C.jpg,27.206680377414116,0.9343944301982221
ESY0359993__X04__Y14.jpg,33.46440202677052,0.9596429460460256
ESY0359993__X04__Y1C.jpg,33.95015369827756,0.9662663842679855
ESY0359993__X04__Y1E.jpg,24.829801470219298,0.9244295760547925
ESY0359993__X04__Y20.jpg,34.62686605566799,0.9642654996686257
ESY0359993__X04__Y22.jpg,21.887099257608384,0.9055472687187954
ESY0359993__X04__Y24.jpg,22.4184975485363,0.9350094605919681
ESY0359993__X04__Y26.jpg,32.477081041180455,0.9621274933082855
ESY0359993__X04__Y28.jpg,31.84399786795194,0.9511884417134737
ESY0359993__X04__Y2A.jpg,32.38431056807978,0.9621516523993459
ESY0359993__X04__Y2C.jpg,34.61771176346743,0.9678556852062951
ESY0359993__X04__Y2E.jpg,33.84471967188398,0.9653561110669318
ESY0359993__X04__Y30.jpg,34.165195186424754,0.9549820587387619
ESY0359993__X04__Y32.jpg,33.157128405799256,0.9700686826421869
ESY0359993__X04__Y36.jpg,32.7232363059892,0.9685376430594759
ESY0359993__X04__Y38.jpg,33.291780810530305,0.915494614927348
ESY0359993__X04__Y3A.jpg,33.370784484691065,0.9666917177702851
ESY0359993__X06__Y06.jpg,38.644760931259526,0.9715237655844516
ESY0359993__X06__Y08.jpg,35.70102999048048,0.9673322618138754
ESY0359993__X06__Y0C.jpg,36.98991253868661,0.9712192484037897
ESY0359993__X06__Y0E.jpg,35.23966513079499,0.9661080616517541
ESY0359993__X06__Y10.jpg,34.421610808283646,0.9576803764523116
ESY0359993__X06__Y12.jpg,30.95631849181001,0.9636947030203552
ESY0359993__X06__Y14.jpg,32.92455390968151,0.9599822906137128
ESY0359993__X06__Y16.jpg,31.23408503739585,0.9568238274971115
ESY0359993__X06__Y18.jpg,18.705958361229897,0.868896218323461
ESY0359993__X06__Y1A.jpg,33.81716852372883,0.9598377703517612
ESY0359993__X06__Y1C.jpg,21.8044879755891,0.8766320396684756
ESY0359993__X06__Y1E.jpg,24.708269746390364,0.9133056469964753
ESY0359993__X06__Y20.jpg,28.044963747361837,0.9513848038076309
ESY0359993__X06__Y22.jpg,19.991037841904824,0.8238174358549352
ESY0359993__X06__Y24.jpg,26.03126590584749,0.9320380813127844
ESY0359993__X06__Y26.jpg,24.171369281878555,0.8952959774680225
ESY0359993__X06__Y28.jpg,27.028079649576433,0.9521855800987337
ESY0359993__X06__Y2A.jpg,22.58320262892962,0.8676733199421057
ESY0359993__X06__Y2C.jpg,25.5889314938285,0.9028842653902523
ESY0359993__X06__Y2E.jpg,21.465161486491894,0.9141563195246222
ESY0359993__X06__Y30.jpg,31.7988953011428,0.9585377197592299
ESY0359993__X06__Y32.jpg,28.050277425263033,0.9537241275491104
ESY0359993__X06__Y36.jpg,32.70346058911954,0.9613949211391172
ESY0359993__X06__Y38.jpg,32.14430069055767,0.9431631560906834
ESY0359993__X06__Y3A.jpg,32.072732413551236,0.9688843592639056
ESY0359993__X06__Y3C.jpg,31.856331003716278,0.9616235312939191
ESY0359993__X06__Y3E.jpg,32.008080527558775,0.9645672977202147
ESY0359993__X06__Y40.jpg,26.54649515062146,0.9448626179932522
ESY0359993__X06__Y42.jpg,33.22606434854167,0.9683137608853325
ESY0359993__X06__Y46.jpg,33.94292020498534,0.9650902815248529
ESY0359993__X08__Y0E.jpg,34.0642203467377,0.9675567887375317
ESY0359993__X08__Y10.jpg,34.36792328715849,0.9576837009553568
ESY0359993__X08__Y12.jpg,33.92421856687861,0.9591475235711783
ESY0359993__X08__Y14.jpg,24.77655210291899,0.9414255178515393
ESY0359993__X08__Y16.jpg,31.13042859330283,0.9452665761432004
ESY0359993__X08__Y18.jpg,30.070980367064774,0.9551152950206143
ESY0359993__X08__Y1A.jpg,23.38751076335745,0.8805627401683783
ESY0359993__X08__Y1C.jpg,25.8726008434312,0.9396549250787928
ESY0359993__X08__Y1E.jpg,24.956460595814725,0.9056759260974416
ESY0359993__X08__Y20.jpg,23.87618302244453,0.879418197402288
ESY0359993__X08__Y22.jpg,24.00869006535251,0.863453916035257
ESY0359993__X08__Y24.jpg,21.221999951215402,0.9001688924131893
ESY0359993__X08__Y26.jpg,22.74623584587617,0.8444672238922367
ESY0359993__X08__Y28.jpg,25.69958038407018,0.9233271971822405
ESY0359993__X08__Y2A.jpg,29.752284982313242,0.9559691287444017
ESY0359993__X08__Y2C.jpg,28.330217260321437,0.9311103049865433
ESY0359993__X08__Y2E.jpg,22.574290334586177,0.9020732764081987
ESY0359993__X08__Y30.jpg,30.201512327966103,0.9620155300601895
ESY0359993__X08__Y32.jpg,23.294943442857885,0.9122782888723873
ESY0359993__X08__Y34.jpg,26.444772194375652,0.9271781648720197
ESY0359993__X08__Y36.jpg,28.89604958864971,0.949898310582807
ESY0359993__X08__Y38.jpg,33.046910261966865,0.9718386400529789
ESY0359993__X08__Y3A.jpg,30.85718692505519,0.9526104411619735
ESY0359993__X08__Y3C.jpg,32.25008655091798,0.9647531551872802
ESY0359993__X08__Y42.jpg,32.72646298869473,0.9694751905993328
ESY0359993__X0A__Y0A.jpg,34.39153485550301,0.9694525057575761
ESY0359993__X0A__Y0C.jpg,33.50028657865769,0.9613477179829806
ESY0359993__X0A__Y0E.jpg,33.63739989142499,0.9681207336783666
ESY0359993__X0A__Y12.jpg,34.36456428177706,0.953243976662277
ESY0359993__X0A__Y14.jpg,34.00355141165493,0.9615152384076975
ESY0359993__X0A__Y16.jpg,22.849803954696313,0.8889107115515638
ESY0359993__X0A__Y18.jpg,22.933523100032062,0.8752877467533743
ESY0359993__X0A__Y1A.jpg,24.659537747619314,0.9016218901483793
ESY0359993__X0A__Y1C.jpg,19.87707756343481,0.8663093997155175
ESY0359993__X0A__Y1E.jpg,22.442655001675064,0.8807987948197399
ESY0359993__X0A__Y20.jpg,23.940525024691443,0.8860813757964308
ESY0359993__X0A__Y22.jpg,22.686828241151385,0.8526115369366354
ESY0359993__X0A__Y24.jpg,24.29232695534534,0.9301136268426281
ESY0359993__X0A__Y26.jpg,25.433327160577758,0.924514722760113
ESY0359993__X0A__Y28.jpg,21.041677041666823,0.84513643035907
ESY0359993__X0A__Y2A.jpg,23.894077229054993,0.9153995953323195
ESY0359993__X0A__Y2C.jpg,28.24694326487847,0.9555013535560957
ESY0359993__X0A__Y2E.jpg,24.76355144071144,0.9356351674199789
ESY0359993__X0A__Y30.jpg,26.30001706458089,0.9065332183352844
ESY0359993__X0A__Y32.jpg,22.593893172984778,0.8590535232318959
ESY0359993__X0A__Y34.jpg,20.34702195852251,0.917365959200978
ESY0359993__X0A__Y36.jpg,30.40896418728698,0.9622747723400605
ESY0359993__X0A__Y38.jpg,26.02082597628531,0.8928340519518356
ESY0359993__X0A__Y3A.jpg,24.349913418988656,0.919583489150759
ESY0359993__X0A__Y3C.jpg,32.66748356711097,0.9721513034388404
ESY0359993__X0A__Y3E.jpg,32.30243001363207,0.9517078410734592
ESY0359993__X0A__Y40.jpg,29.252909768144463,0.9648759696048438
ESY0359993__X0C__Y0A.jpg,34.64693471578599,0.9693170104936747
ESY0359993__X0C__Y0E.jpg,34.16719754795467,0.9666136736978488
ESY0359993__X0C__Y10.jpg,29.090575125643696,0.9606847531277799
ESY0359993__X0C__Y12.jpg,27.086190609664772,0.9255259252824835
ESY0359993__X0C__Y14.jpg,20.35229659660019,0.8549791013936788
ESY0359993__X0C__Y16.jpg,21.23074504553807,0.8758247517251123
ESY0359993__X0C__Y18.jpg,25.064698857004654,0.9247402281129427
ESY0359993__X0C__Y1A.jpg,20.801873454348097,0.8160847131426037
ESY0359993__X0C__Y1C.jpg,21.05937104658423,0.8351479063191593
ESY0359993__X0C__Y1E.jpg,21.48854864186699,0.7830784353881873
ESY0359993__X0C__Y20.jpg,20.09014326588579,0.8105619106311173
ESY0359993__X0C__Y22.jpg,23.547791462986382,0.8826889866100837
ESY0359993__X0C__Y24.jpg,24.145948425670028,0.8449149381398569
ESY0359993__X0C__Y26.jpg,24.61189854248027,0.87570667519514
ESY0359993__X0C__Y28.jpg,23.268106415834833,0.8578452509067139
ESY0359993__X0C__Y2A.jpg,22.62169683821695,0.8455820629667762
ESY0359993__X0C__Y2C.jpg,22.56401767183959,0.8886902692114047
ESY0359993__X0C__Y2E.jpg,22.192929111968173,0.8795577432803391
ESY0359993__X0C__Y30.jpg,24.696108690659933,0.9053527003292688
ESY0359993__X0C__Y32.jpg,26.457394506884235,0.9304181741477474
ESY0359993__X0C__Y34.jpg,27.908157456055882,0.9432882584441162
ESY0359993__X0C__Y36.jpg,25.50050878271071,0.9145280989626335
ESY0359993__X0C__Y38.jpg,24.905673513539437,0.9418857393333938
ESY0359993__X0C__Y3A.jpg,30.5103137366746,0.9446482414352223
ESY0359993__X0C__Y3C.jpg,31.76074013391709,0.9665699586005937
ESY0359993__X0C__Y3E.jpg,31.241878281772063,0.967125405038343
ESY0359993__X0C__Y40.jpg,32.24615301167019,0.9523276644340146
ESY0359993__X0C__Y42.jpg,32.38541709889344,0.9552096883380253
ESY0359993__X0E__Y0A.jpg,34.21537070811104,0.9684453188266725
ESY0359993__X0E__Y0C.jpg,30.182362192304044,0.9591429680855252
ESY0359993__X0E__Y10.jpg,33.1652943603753,0.955972290896469
ESY0359993__X0E__Y12.jpg,23.49067029063821,0.8701677817346902
ESY0359993__X0E__Y14.jpg,20.978229301219514,0.8114727006215803
ESY0359993__X0E__Y16.jpg,21.24006015482809,0.8576434386166504
ESY0359993__X0E__Y18.jpg,23.193561264811283,0.9004832436974493
ESY0359993__X0E__Y1A.jpg,19.42922277645376,0.8002181423931586
ESY0359993__X0E__Y1C.jpg,18.896896080450357,0.7673343536106171
ESY0359993__X0E__Y1E.jpg,21.162703000565593,0.8604905813803153
ESY0359993__X0E__Y20.jpg,28.66545279897413,0.9381262744490296
ESY0359993__X0E__Y22.jpg,25.763267347373244,0.9216313397061398
ESY0359993__X0E__Y24.jpg,24.91097124185197,0.8700134306773181
ESY0359993__X0E__Y26.jpg,22.311462619913126,0.8127455559362567
ESY0359993__X0E__Y28.jpg,21.561574686601055,0.7699784061934115
ESY0359993__X0E__Y2A.jpg,20.307666303161866,0.7568833167928063
ESY0359993__X0E__Y2C.jpg,19.97335587550575,0.8068050522665478
ESY0359993__X0E__Y2E.jpg,26.138079804421338,0.9338461871089351
ESY0359993__X0E__Y30.jpg,19.63297932924799,0.8219015689036698
ESY0359993__X0E__Y32.jpg,20.458001060825914,0.8715676414881764
ESY0359993__X0E__Y34.jpg,20.228815004731587,0.8506848529641653
ESY0359993__X0E__Y36.jpg,21.442942935994417,0.8256736336359131
ESY0359993__X0E__Y38.jpg,23.634313338114747,0.8558202002862006
ESY0359993__X0E__Y3A.jpg,23.47222340436911,0.9271102826440132
ESY0359993__X0E__Y3C.jpg,24.80012596532425,0.9134376412845486
ESY0359993__X0E__Y3E.jpg,32.076751204815814,0.9580166952162976
ESY0359993__X0E__Y40.jpg,26.27213710047254,0.9534805661565277
ESY0359993__X0E__Y42.jpg,32.087725848423425,0.9462780539792212
ESY0359993__X0E__Y46.jpg,32.48741639655552,0.9625601298260403
ESY0359993__X10__Y0A.jpg,33.078475035860805,0.9669375026682573
ESY0359993__X10__Y0C.jpg,24.72785501561202,0.9392708752454659
ESY0359993__X10__Y0E.jpg,33.79899325621035,0.9677365966861785
ESY0359993__X10__Y10.jpg,22.231886748620493,0.8665350776427856
ESY0359993__X10__Y12.jpg,19.95254719985502,0.7546688745510299
ESY0359993__X10__Y14.jpg,21.95804734665979,0.8215790273614486
ESY0359993__X10__Y16.jpg,18.341902859646297,0.7861535281598279
ESY0359993__X10__Y18.jpg,21.02038834141609,0.8342575634055965
ESY0359993__X10__Y1A.jpg,20.52370253766521,0.8172050203892087
ESY0359993__X10__Y1C.jpg,20.962595547011208,0.83591009454027
ESY0359993__X10__Y1E.jpg,19.185035587860266,0.7539113045884184
ESY0359993__X10__Y20.jpg,22.68879401909142,0.857919070548454
ESY0359993__X10__Y22.jpg,21.876874001483987,0.8473241600961846
ESY0359993__X10__Y24.jpg,22.77425328816844,0.882218365031241
ESY0359993__X10__Y26.jpg,19.440876016114682,0.8241348649050018
